word,kana,ipa,origin
だ,ダ,da,和
た,タ,ta,和
為る,スル,sɯɾɯ,和
居る,イル,iɾɯ,和
ます,マス,masɯ,和
有る,アル,aɾɯ,和
です,デス,desɯ,和
言う,イウ,iɯ,和
事,コト,koto,和
ない,ナイ,nai,和
れる,レル,ɾeɾɯ,和
成る,ナル,naɾɯ,和
一,イチ,it͡ɕi,漢
無い,ナイ,nai,和
二,ニ,ɲi,漢
其の,ソノ,sono,和
様,ヨウ,joː,漢
三,サン,saɴ,漢
十,ジュウ,d͡ʑɯː,漢
ず,ズ,d͡zɯ,和
此の,コノ,kono,和
物,モノ,mono,和
的,テキ,teki,漢
其れ,ソレ,soɾe,和
御,オ,o,和
年,ネン,neɴ,漢
来る,クル,kɯɾɯ,和
五,ゴ,ɡo,漢
思う,オモウ,omoː,和
見る,ミル,miɾɯ,和
行く,イク,ikɯ,和
四,ヨン,joɴ,和
出来る,デキル,dekiɾɯ,和
此れ,コレ,koɾe,和
良い,ヨイ,joi,和
者,シャ,ɕa,漢
私,ワタクシ,ɰatakɯɕi,和
られる,ラレル,ɾaɾeɾɯ,和
さん,サン,saɴ,和
因る,ヨル,joɾɯ,和
何,ナニ,naɲi,和
時,トキ,toki,和
六,ロク,ɾokɯ,漢
二十,ニジュウ,ɲiʑɯː,漢
人,ヒト,çito,和
為,タメ,tame,和
月,ガツ,ɡat͡sɯ,漢
八,ハチ,hat͡ɕi,漢
てる,テル,teɾɯ,和
第,ダイ,dai,漢
そう,ソウ,soː,和
七,ナナ,nana,和
九,キュウ,kʲɯː,漢
日本,ニッポン,ɲippoɴ,固
達,タチ,tat͡ɕi,和
たい,タイ,tai,和
どう,ドウ,doː,和
中,ナカ,naka,和
せる,セル,seɾɯ,和
又,マタ,mata,和
つく,ツク,t͡sɯkɯ,和
千,セン,seɴ,漢
自分,ジブン,d͡ʑibɯɴ,漢
所,トコロ,tokoɾo,和
三十,サンジュウ,sand͡ʑɯː,漢
零,レイ,ɾeː,漢
考える,カンガエル,kaŋɡaeɾɯ,和
仕舞う,シマウ,ɕimaɯ,和
つ,ツ,t͡sɯ,和
方,ホウ,hoː,漢
場合,バアイ,baːi,和
今,イマ,ima,和
持つ,モツ,mot͡sɯ,和
彼,カレ,kaɾe,和
遣る,ヤル,jaɾɯ,和
．,テン,teɴ,記号
等,トウ,toː,漢
分かる,ワカル,ɰakaɾɯ,和
日,ニチ,ɲit͡ɕi,漢
居る,オル,oɾɯ,和
於く,オク,okɯ,和
五十,ゴジュウ,ɡoʑɯː,漢
出る,デル,deɾɯ,和
前,マエ,mae,和
行う,オコナウ,okonaɯ,和
取る,トル,toɾɯ,和
等,ラ,ɾa,和
円,エン,eɴ,漢
万,マン,maɴ,漢
性,セイ,seː,漢
九百,キュウヒャク,kʲɯːçʲakɯ,漢
訳,ワケ,ɰake,和
時,ジ,d͡ʑi,漢
さ,サ,sa,和
百,ヒャク,çʲakɯ,漢
下さる,クダサル,kɯdasaɾɯ,和
然し,シカシ,ɕikaɕi,和
問題,モンダイ,mondai,漢
必要,ヒツヨウ,çit͡sɯjoː,漢
対する,タイスル,taisɯɾɯ,混
使う,ツカウ,t͡sɯkaɯ,和
人,ニン,ɲiɴ,漢
化,カ,ka,漢
時間,ジカン,d͡ʑikaɴ,漢
聞く,キク,kikɯ,和
四十,ヨンジュウ,jond͡ʑɯː,混
呉れる,クレル,kɯɾeɾɯ,和
人,ジン,d͡ʑiɴ,漢
知る,シル,ɕiɾɯ,和
後,アト,ato,和
パーセント,パーセント,paːsento,外
御,ゴ,ɡo,漢
そして,ソシテ,soɕite,和
もう,モウ,moː,和
一,ヒト,çito,和
会,カイ,kai,漢
置く,オク,okɯ,和
子供,コドモ,kodomo,和
日,ヒ,çi,和
こう,コウ,koː,和
入る,ハイル,haiɾɯ,和
気,キ,ki,漢
